File: ./src/main.c, Line: 00037: 
programe server: 
 client_port 22000, control_port 23000, h264_port 23001, window_flag 0, window_size 1,
File: ./src/socket.c, Line: 00213: server bind port 22000
File: ./src/display.c, Line: 00935: ThreadMain set SCHED_FIFO error
File: ./src/socket.c, Line: 00950: ThreadMain set SCHED_FIFO error
File: ./src/socket.c, Line: 00973: ThreadMain set SCHED_FIFO error
File: ./src/socket.c, Line: 00662: display_size 1
File: ./src/display.c, Line: 00847: create window 
File: ./src/display.c, Line: 00858: full_width 1920 full_height 1080
File: ./src/display.c, Line: 00883: Failed to initialize a hardware accelerated renderer: 
File: ./src/display.c, Line: 00889: Initialized software renderer.
File: ./src/socket.c, Line: 00092: udp ip (null), port 23002
File: ./src/socket.c, Line: 00155: display->fd 920
File: ./src/ffmpeg.c, Line: 00381: ThreadMain set SCHED_FIFO error
File: ./src/socket.c, Line: 00750: connfd fd 936
File: ./src/server.c, Line: 00141: process_server_msg
File: ./src/server.c, Line: 00018: recv_login server_major 0 server_minor 0
File: ./src/server.c, Line: 00141: process_server_msg
File: ./src/server.c, Line: 00035: fmt->width 1280, fmt->height 720 fmt->code 0 fmt->data_port 0
File: ./src/server.c, Line: 00063: req->display_id 0
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/display.c, Line: 00658: area_id 0
File: ./src/display.c, Line: 00575: switch control
File: ./src/server.c, Line: 00141: process_server_msg
File: ./src/server.c, Line: 00125: send_done 
File: ./src/server.c, Line: 00134: req->play_id 0
File: ./src/display.c, Line: 00546: start_control
File: ./src/server.c, Line: 00141: process_server_msg
File: ./src/server.c, Line: 00083: send_control
File: ./src/display.c, Line: 00658: area_id 0
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/ffmpeg.c, Line: 00305: Decode Error.(解码错误)
File: ./src/socket.c, Line: 00780: close fd 936
